               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.024059,           0.0056961,           0.0029133,             0.95716,             0.95703,             0.97099,             0.68459,            0.025186,            0.006583,           0.0043188,           0.0072775,           0.0072775,           0.0072775
                  57,            0.024698,           0.0058239,           0.0029047,             0.94911,             0.95308,              0.9634,             0.68753,            0.025596,           0.0065998,           0.0041607,            0.007228,            0.007228,            0.007228
                  58,            0.024759,           0.0057451,           0.0033365,             0.94767,             0.95871,             0.97669,             0.68498,            0.025008,           0.0066335,           0.0039291,           0.0071785,           0.0071785,           0.0071785
                  59,            0.024023,           0.0058777,           0.0028566,             0.94784,             0.95677,             0.96732,              0.6806,            0.025068,           0.0067103,           0.0039412,            0.007129,            0.007129,            0.007129
                  60,             0.02371,           0.0057881,            0.002628,             0.94226,             0.96025,             0.96344,             0.68133,            0.024823,           0.0066491,           0.0040497,           0.0070795,           0.0070795,           0.0070795
                  61,            0.023272,           0.0055146,           0.0027179,             0.95306,             0.95475,             0.97018,              0.6889,            0.024492,           0.0066218,           0.0040086,             0.00703,             0.00703,             0.00703
                  62,            0.024595,           0.0054279,           0.0028012,             0.94806,             0.96056,             0.97401,             0.69218,            0.025517,           0.0066164,           0.0038974,           0.0069805,           0.0069805,           0.0069805
                  63,            0.023935,           0.0056373,           0.0026888,             0.95326,             0.95693,             0.97578,             0.68148,            0.024299,           0.0065425,           0.0038902,            0.006931,            0.006931,            0.006931
                  64,            0.023112,           0.0055906,           0.0025093,             0.95336,             0.95869,             0.97803,             0.69831,              0.0241,           0.0064705,           0.0039689,           0.0068815,           0.0068815,           0.0068815
                  65,            0.023368,           0.0055327,           0.0026902,             0.95481,             0.95636,             0.97037,             0.68852,            0.024136,            0.006667,           0.0038674,            0.006832,            0.006832,            0.006832
